                    MYC           TAF12         E2F1          SUPT3H        EP400         MAX           TADA2A        TAF5L         JUN           MECOM         FOS           TP53          BRCA1         SPI1          SP1           TRRAP         MYCBP2        TBP           TAF7          RUVBL2        YY1           UIMC1         RB1           TAF13         PFDN5         NFKB1         AURKA         EP300         TCF4          GSK3B         POU2F2        PALB2         SF3B3         TAF9          CDC6          
Hyperdiploid        7.153938      0.666682      8.304991      0.790785      0.448118      4.011490      0.425929      0.441159      1.286345      0.753351      0.559855      0.652976      3.657158      2.830994      2.037584      0.736326      0.510986      6.487171      0.831333      0.429792      5.156376      0.468446      0.841352      0.275375      0.493942      2.848329      0.435029      1.501031      0.916726      0.592372      2.587082      0.636771      0.426960      0.968810      0.447981      
CD34                6.991857      0.686887      7.759132      0.787004      0.435810      4.083394      0.403927      0.443157      1.315167      0.733856      0.551155      0.660743      3.512280      2.794371      1.962097      0.726833      0.477714      6.440991      0.808067      0.406145      5.320143      0.458910      0.828564      0.412394      0.446760      2.647615      0.427835      1.826883      1.077858      0.588054      2.606851      0.597131      0.421229      0.933752      0.415219      
TCF3-PBX1           7.397652      0.668065      8.545514      0.797922      0.464112      4.103103      0.434499      0.457184      1.263105      0.747366      0.535996      0.672298      3.743845      2.843398      2.107506      0.755328      0.533129      6.470835      0.862176      0.450270      5.338149      0.481261      0.852233      0.266755      0.519667      2.955891      0.447853      1.531119      0.926278      0.604784      2.545382      0.644103      0.440703      0.991221      0.457860      
ETV6_RUNX1          7.014220      0.636808      8.299982      0.777736      0.437258      3.950997      0.425502      0.435976      1.253031      0.736005      0.534653      0.653737      3.603034      2.828990      2.033074      0.726047      0.504897      6.438361      0.850059      0.419249      5.128966      0.466606      0.849378      0.286604      0.488611      2.852550      0.432124      1.518143      0.918895      0.581678      2.553329      0.633904      0.415135      0.963713      0.438135      
MLL                 5.953321      0.598137      7.076618      0.690289      0.371157      3.574279      0.347595      0.370991      1.126903      0.645262      0.481210      0.557998      3.079167      2.453479      1.741139      0.634993      0.420492      5.494681      0.654592      0.351672      4.328690      0.407811      0.787439      0.282161      0.397323      2.423131      0.394498      1.311676      0.941920      0.494000      2.174968      0.574380      0.353237      0.853630      0.377591      
Ph                  7.280159      0.607824      8.545987      0.786264      0.459606      4.098513      0.464102      0.462524      1.310786      0.781836      0.583540      0.686186      3.748561      2.857316      2.078148      0.748845      0.518863      6.633727      0.878284      0.419872      5.322104      0.484973      0.855134      0.321680      0.512679      2.925424      0.440220      1.585916      0.935905      0.605856      2.662196      0.642627      0.439307      0.997463      0.436830      
Hypo                6.482753      0.739401      6.734220      0.713104      0.386669      3.876618      0.431709      0.379119      1.189194      0.620418      0.559994      0.491814      3.074419      2.329985      1.880002      0.648565      0.431882      5.318616      0.546549      0.419077      4.576491      0.387261      0.739129      0.355447      0.364416      2.315255      0.428680      1.390579      0.973194      0.488159      2.086437      0.587997      0.398480      0.864378      0.434182      
Other               7.003499      0.655024      8.171138      0.779122      0.437886      3.958522      0.410984      0.434380      1.271376      0.739855      0.553784      0.644884      3.581288      2.793817      2.000829      0.724203      0.504632      6.346466      0.812799      0.419669      5.058029      0.461165      0.840965      0.276332      0.487010      2.808465      0.425718      1.481165      0.912130      0.581530      2.512082      0.630322      0.415193      0.953647      0.433198      
T-ALL               7.265602      0.687138      8.483227      0.801516      0.454612      4.072421      0.422416      0.456373      1.260665      0.753805      0.544251      0.667208      3.710535      2.845811      2.063691      0.752059      0.516990      6.590341      0.851382      0.427309      5.260290      0.479402      0.851043      0.269149      0.505740      2.900444      0.438671      1.539345      0.853169      0.598597      2.678967      0.642810      0.433492      0.991220      0.444882      
CD10CD19            6.969961      0.676431      7.669905      0.804600      0.430080      3.867525      0.438327      0.401952      1.220780      0.709426      0.537485      0.605154      3.499038      2.605079      1.930740      0.710414      0.477929      5.895516      0.719727      0.407751      4.893689      0.437203      0.810492      0.241806      0.447845      2.632598      0.424299      1.378920      0.908147      0.538890      2.365697      0.628837      0.427963      0.905532      0.459890      
Control_HSC         6.888532      0.640055      6.201302      0.762672      0.417628      4.008164      0.405176      0.427311      1.501591      0.730534      0.605976      0.624546      3.353947      1.922073      2.035239      0.702481      0.484418      4.533698      0.827975      0.398651      5.090820      0.441402      0.780565      0.292078      0.460378      1.915653      0.400760      1.504164      0.935445      0.577130      1.617986      0.639165      0.404865      0.937855      0.447159      
Control_lymphoid    6.533313      0.634355      6.073727      0.734722      0.402137      3.899813      0.370879      0.412659      1.451431      0.717568      0.599040      0.598160      3.115159      1.879641      1.963457      0.682947      0.465961      4.489356      0.811814      0.378843      4.934258      0.421178      0.781569      0.291860      0.447315      1.887246      0.383565      1.494544      0.927028      0.563004      1.631867      0.569362      0.381584      0.925912      0.440016      
Control_myeloid     6.641028      0.640204      6.085000      0.742858      0.407099      3.926075      0.379082      0.410947      1.512694      0.708149      0.621941      0.609605      3.230109      2.010235      1.939622      0.692779      0.468121      4.619295      0.822290      0.384914      4.922021      0.428552      0.836361      0.301937      0.448990      1.861882      0.404827      1.496446      0.925263      0.569494      1.672105      0.581607      0.376528      0.922105      0.460819      
