USF1	FOSL1
ATF3	ATF4
ELF1	RB1
MEF2A	UBE2I
POU2F2	TBP
EP300	TP53
EP300	MDM2
EP300	ETV4
EP300	HIF1A
EP300	SOX4
EP300	MUC1
EP300	ESR1
SPI1	RB1
SPI1	TBP
RAD21	STAG1
RAD21	STAG2
RAD21	ESPL1
RXRA	NCOA2
RXRA	RARA
RXRA	PPARA
SP1	YY1
SP1	GTF2B
SP1	TAF7
TCF12	ID2
TCF12	NCOR1
YY1	EP300
YY1	TAF7
YY1	GTF2B
YY1	SP1
YY1	MYC
YY1	MECOM
HDAC2	JARID2
HDAC2	H2AFY2
HDAC2	TRIM24
HDAC2	RB1
HDAC2	TAL1
JUND	SCG2
JUND	BRCA1
TAF7	YY1
TAF7	USF1
TAF7	CCNT1
FOSL2	JUNB
GATA2	SPI1
GATA2	NR2F2
MAX	TAF5L
MAX	MXI1
MAX	TAF9
MAX	SUPT3H
MAX	MYC
MAX	KAT2A
MAX	TRRAP
NFKB1	NFKBIA
NFKB1	NFKB2
NFKB1	NFKBIE
NFKB1	NFKB1
NFKB1	MAP3K8
NFKB1	RELB
NFKB1	TNIP1
NFKB1	NFKBIB
NFKB1	REL
NFKB1	RELA
NFKB1	HSPA4
NFKB1	KPNA3
NFKB1	IKBKG
NFKB1	COPB2
NFKB1	CHUK
NFKB1	E2F1
BRCA1	TP53
BRCA1	JUNB
BRCA1	MYC
BRCA1	UIMC1
BRCA1	AURKA
BRCA1	JUND
BRCA1	RBBP8
BRCA1	PALB2
FOS	ATF4
FOS	MECOM
FOS	JUN
KAT2A	MYC
SMC3	STAG1
SMC3	STAG2
STAT1	STAT1
JUN	ATF3
JUN	GSK3B
JUN	MAPK1
JUN	ATF4
TCF4	MLLT10
TCF4	CTNNB1
TCF4	DOT1L
TCF4	ID3
TRIM28	CHD3
MYC	TAF12
MYC	MAX
MYC	SF3B3
MYC	MYCBP2
MYC	MXI1
MYC	KAT2A
MYC	TADA2A
MYC	SUPT3H
MYC	TAF9
MYC	RUVBL2
MYC	EP400
MYC	GSK3B
MYC	TAF15
MYC	YY1
MYC	PFDN5
MYC	TRRAP
MYC	CDC6
E2F1	TFDP1
E2F1	CDKN2A
E2F1	RB1
E2F1	PARP1
E2F1	TOPBP1
E2F1	TFDP2
E2F1	NFKB1
E2F1	CDK8
E2F1	TBP
E2F1	BRCA1
E2F1	PHB
E2F1	HDAC1
E2F4	RBL1
E2F4	TFDP1
E2F4	RB1
E2F4	HDAC1
GTF2F1	SRF
SMARCB1	CALM1
SMARCB1	CALM2
SMARCB1	CHD7
MXI1	MAX
MXI1	MYC
GTF2B	TAF9
GATA1	ZFPM1
GATA1	RB1
TAL1	LYL1
TAL1	CBFA2T3
TAL1	LDB1
TAL1	RUNX1
TAL1	TCF12
JUNB	FOSL2
JUNB	MECOM
TBP	GTF2B
TBP	JUN
TBP	TAF12
TBP	TAF1
TBP	TAF15
TBP	TAF11
TBP	TAF13
TBP	FOS
TBP	TAF1C
TBP	SNAPC1
TBP	POU2F1
TBP	SPI1
TBP	POU2F2
TBP	TCEA1
TBP	E2F1
TBP	SNAPC2
TAF1	TAF7
TAF1	RB1
TAF1	TAF2
TAF1	TBP
E2F1	BRCA1
EP300	ETV4
EP300	KLF1
EP300	MDM2
GATA2	SPI1
JUN	BRCA1
JUNB	BRCA1
JUND	BRCA1
MYC	BRCA1
TAL1	TCF12
TBP	POU2F2
TBP	SPI1
