0      0.5
1   39   0.5
1   49   0.5
1   2   0.5
2   38   0.5
2   37   0.5
2   6   0.5
3      0.5
4      0.5
5   26   0.5
7   46   0.5
7   15   0.5
8   99   0.5
8   56   0.5
9   97   0.5
10      0.5
11      0.5
12   49   0.5
14   8   0.5
16      0.5
18   64   0.5
20   28   0.5
20   35   0.5
20   75   0.5
21   96   0.5
21   87   0.5
22      0.5
23   96   0.5
23   28   0.5
26   37   0.5
27   18   0.5
27   51   0.5
28   58   0.5
29   98   0.5
29   26   0.5
29   99   0.5
29   21   0.5
30   35   0.5
31   49   0.5
31   40   0.5
32   13   0.5
33   71   0.5
34   84   0.5
34   9   0.5
35   98   0.5
35   86   0.5
35   17   0.5
36   2   0.5
36   23   0.5
36   96   0.5
37   27   0.5
38   2   0.5
39   90   0.5
40   95   0.5
41   42   0.5
41   23   0.5
42   30   0.5
42   14   0.5
43   67   0.5
43   26   0.5
44   25   0.5
45   30   0.5
45   62   0.5
46   64   0.5
47      0.5
49   48   0.5
49   88   0.5
49   59   0.5
50      0.5
51   40   0.5
51   20   0.5
52   87   0.5
53   55   0.5
53   58   0.5
54   21   0.5
54   24   0.5
55   6   0.5
55   24   0.5
56   58   0.5
57   73   0.5
58   27   0.5
58   30   0.5
59   54   0.5
59   43   0.5
60   91   0.5
60   66   0.5
61   21   0.5
61   13   0.5
61   37   0.5
63   19   0.5
64   61   0.5
64   48   0.5
65   57   0.5
65   43   0.5
67   61   0.5
68   15   0.5
68   52   0.5
69   32   0.5
69   18   0.5
69   38   0.5
70      0.5
72   51   0.5
72   55   0.5
73   98   0.5
73   20   0.5
74   38   0.5
74   67   0.5
75   85   0.5
76      0.5
77   81   0.5
78   66   0.5
78   46   0.5
78   85   0.5
79   75   0.5
80   48   0.5
81   27   0.5
82   30   0.5
83   35   0.5
84   39   0.5
84   95   0.5
86   74   0.5
90   77   0.5
91   77   0.5
92   30   0.5
92   12   0.5
93      0.5
94   35   0.5
94   85   0.5
95   2   0.5
95   74   0.5
96   49   0.5
96   98   0.5
97   26   0.5
97   85   0.5
98   58   0.5
98   89   0.5
99   74   0.5
